County,2010,2011,2012,2013,2014
"Seminole County, Georgia",8733,8782,8915,8903,8686
"Spalding County, Georgia",64085,64118,63799,63741,63988
"Stephens County, Georgia",26155,25751,25725,25595,25480
"Stewart County, Georgia",6110,6070,6090,5484,5744
"Sumter County, Georgia",32707,32095,31631,31357,31232
"Talbot County, Georgia",6834,6760,6538,6449,6390
"Taliaferro County, Georgia",1708,1715,1681,1693,1693
"Tattnall County, Georgia",25491,25281,25305,25477,25224
"Taylor County, Georgia",8781,8478,8381,8441,8442
"Telfair County, Georgia",16494,16317,16429,16705,16518
"Terrell County, Georgia",9525,9398,9247,9214,9132
"Thomas County, Georgia",44742,44588,44530,44848,44959
"Tift County, Georgia",40246,41380,40994,40280,40704
"Toombs County, Georgia",27317,27240,27217,27302,27282
"Towns County, Georgia",10534,10477,10487,10752,11098
"Treutlen County, Georgia",6889,6821,6751,6665,6778
"Troup County, Georgia",67154,67773,68472,69007,69469
"Turner County, Georgia",8944,8847,8369,8143,8153
"Twiggs County, Georgia",8965,8813,8501,8462,8320
"Union County, Georgia",21324,21369,21481,21607,21984
"Upson County, Georgia",27067,26943,26615,26522,26256
"Walker County, Georgia",68889,68618,68184,68317,68218
"Walton County, Georgia",83979,84441,84867,85987,87615
"Ware County, Georgia",36366,36177,35814,35704,35515
"Warren County, Georgia",5792,5701,5563,5554,5520
"Washington County, Georgia",21121,21015,20857,20679,20635
"Wayne County, Georgia",30116,30355,30371,30058,29949
"Webster County, Georgia",2775,2797,2792,2707,2649
"Wheeler County, Georgia",7761,8059,7908,7939,7995
"White County, Georgia",27237,27403,27577,27781,27970
"Whitfield County, Georgia",102769,103076,103187,103087,103542
"Wilcox County, Georgia",9271,9165,9027,8996,8847
"Wilkes County, Georgia",10491,10194,10046,9944,9940
"Wilkinson County, Georgia",9516,9457,9542,9436,9326
"Worth County, Georgia",21734,21617,21470,21064,20940
"Hawaii County, Hawaii",185325,187039,188946,191409,194190
"Honolulu County, Hawaii",956336,966559,976746,987019,991788
"Kalawao County, Hawaii",90,90,89,89,89
"Kauai County, Hawaii",67217,67799,68553,69679,70475
"Maui County, Hawaii",154982,156764,158432,160791,163019
"Ada County, Idaho",393412,401100,408891,416556,426236
"Adams County, Idaho",3956,3982,3908,3831,3861
"Bannock County, Idaho",83000,83562,83741,83322,83347
"Bear Lake County, Idaho",5968,5952,5889,5937,5957
"Benewah County, Idaho",9287,9168,9125,9049,9118
"Bingham County, Idaho",45736,45884,45493,45408,45269
"Blaine County, Idaho",21295,21104,21140,21322,21482
"Boise County, Idaho",7019,7011,6803,6744,6824
"Bonner County, Idaho",40927,40831,40447,40703,41585
"Bonneville County, Idaho",104666,105797,106880,107550,108623
"Boundary County, Idaho",11015,10821,10835,10865,10979
"Butte County, Idaho",2899,2798,2722,2628,2622
"Camas County, Idaho",1108,1099,1075,1039,1039
"Canyon County, Idaho",189339,191386,193856,199040,203143
"Caribou County, Idaho",6976,6857,6785,6830,6837
"Cassia County, Idaho",23078,23146,23270,23342,23540
"Clark County, Idaho",980,954,873,861,867
"Clearwater County, Idaho",8627,8626,8582,8604,8562
"Custer County, Idaho",4358,4351,4338,4235,4140
"Elmore County, Idaho",27108,26187,26199,26156,26094
"Franklin County, Idaho",12777,12806,12811,12849,13021
"Fremont County, Idaho",13237,13126,12979,12912,12867
"Gem County, Idaho",16681,16727,16692,16694,16866
"Gooding County, Idaho",15470,15363,15216,15094,15064
"Idaho County, Idaho",16297,16462,16399,16201,16215
"Jefferson County, Idaho",26226,26327,26657,26868,27021
"Jerome County, Idaho",22449,22514,22515,22606,22818
"Kootenai County, Idaho",138890,141045,142297,144357,147326
"Latah County, Idaho",37274,37881,38157,38221,38411
"Lemhi County, Idaho",7946,7979,7763,7725,7726
"Lewis County, Idaho",3817,3793,3836,3825,3838
"Lincoln County, Idaho",5213,5138,5256,5307,5316
"Madison County, Idaho",37595,37884,37680,37572,38038
"Minidoka County, Idaho",20065,20167,20089,20310,20323
"Nez Perce County, Idaho",39321,39431,39577,39938,40007
"Oneida County, Idaho",4296,4233,4223,4269,4184
"Owyhee County, Idaho",11472,11403,11409,11423,11353
"Payette County, Idaho",22638,22550,22673,22591,22836
"Power County, Idaho",7851,7768,7779,7694,7617
"Shoshone County, Idaho",12718,12655,12699,12685,12390
"Teton County, Idaho",10154,10179,10087,10301,10341
"Twin Falls County, Idaho",77527,77993,78392,79839,80914
"Valley County, Idaho",9781,9606,9511,9586,9826
"Washington County, Idaho",10190,10134,10041,9954,10021
"Adams County, Illinois",67162,67172,67199,67046,66988
"Alexander County, Illinois",8206,8013,7750,7643,7492
"Bond County, Illinois",17773,17731,17621,17461,17269
"Boone County, Illinois",54144,54223,53880,53910,53869
"Brown County, Illinois",6911,6877,6912,6857,6832
"Bureau County, Illinois",34905,34640,34337,34084,33840
"Calhoun County, Illinois",5079,5067,5022,5042,4956
"Carroll County, Illinois",15364,15185,15003,14868,14715
"Cass County, Illinois",13639,13647,13422,13335,13156
"Champaign County, Illinois",201460,202706,204009,205761,207133
"Christian County, Illinois",34783,34720,34511,34171,33892
"Clark County, Illinois",16296,16219,16304,16203,16180
"Clay County, Illinois",13818,13731,13733,13572,13520
"Clinton County, Illinois",37819,38130,38057,37895,37857
"Coles County, Illinois",53931,53751,53631,53641,53320
"Cook County, Illinois",5198716,5214988,5232340,5246635,5246456
"Crawford County, Illinois",19808,19783,19627,19514,19393
"Cumberland County, Illinois",11041,11068,10936,10871,10833
"DeKalb County, Illinois",105119,104520,104693,104802,105462
"De Witt County, Illinois",16578,16548,16492,16401,16284
"Douglas County, Illinois",19957,19826,19832,19829,19889
"DuPage County, Illinois",917911,923352,926933,931522,932708
"Edgar County, Illinois",18505,18396,18153,17958,17841
"Edwards County, Illinois",6726,6684,6731,6678,6617
"Effingham County, Illinois",34197,34253,34322,34306,34320
"Fayette County, Illinois",22116,22160,22022,22037,21870
"Ford County, Illinois",14078,13954,13998,13814,13688
"Franklin County, Illinois",40023,40002,39862,39572,39411
"Fulton County, Illinois",37071,36973,36659,36369,36007
"Gallatin County, Illinois",5578,5510,5414,5401,5291
"Greene County, Illinois",13877,13841,13616,13617,13434
"Grundy County, Illinois",50098,50045,50150,50149,50425
"Hamilton County, Illinois",8449,8416,8364,8329,8296
"Hancock County, Illinois",19093,19019,18835,18531,18564
"Hardin County, Illinois",4304,4281,4257,4158,4129
"Henderson County, Illinois",7325,7201,7019,6909,6916
"Henry County, Illinois",50432,50267,50071,49750,49635
"Iroquois County, Illinois",29663,29510,29289,29017,28879
"Jackson County, Illinois",60386,60366,60214,59981,59677
"Jasper County, Illinois",9706,9740,9644,9577,9623
"Jefferson County, Illinois",38804,38791,38730,38721,38534
"Jersey County, Illinois",22964,22850,22732,22638,22571
"Jo Daviess County, Illinois",22660,22621,22380,22218,22254
"Johnson County, Illinois",12610,12635,12756,12648,12601
"Kane County, Illinois",516020,519923,521843,524277,527306
"Kankakee County, Illinois",113462,113453,112926,112193,111375
"Kendall County, Illinois",115240,116711,118145,119525,121350
"Knox County, Illinois",52919,52700,52314,52235,52069
"Lake County, Illinois",704141,701012,701513,704000,705186
"LaSalle County, Illinois",113866,113463,112882,112039,111241
"Lawrence County, Illinois",16916,16814,16698,16683,16519
"Lee County, Illinois",35970,35515,35141,34881,34735
"Livingston County, Illinois",38853,38844,38535,38243,37903
"Logan County, Illinois",30283,30259,30003,29943,29746
"McDonough County, Illinois",32596,32501,32545,32420,31880
"McHenry County, Illinois",309114,307899,307775,307367,307283
"McLean County, Illinois",169843,170734,172418,174893,174061
"Macon County, Illinois",110757,110582,110043,109435,108350
"Macoupin County, Illinois",47784,47807,47208,46892,46453
"Madison County, Illinois",269341,268500,268039,267247,266560
"Marion County, Illinois",39455,39014,38923,38646,38571
"Marshall County, Illinois",12630,12508,12301,12140,12014
"Mason County, Illinois",14645,14475,14339,14187,13898
"Massac County, Illinois",15400,15312,15143,14980,14905
"Menard County, Illinois",12693,12709,12709,12608,12570
"Mercer County, Illinois",16425,16350,16176,16123,15945
"Monroe County, Illinois",33009,33233,33331,33570,33722
"Montgomery County, Illinois",30095,29839,29725,29671,29359
"Morgan County, Illinois",35553,35561,35279,35038,34929
"Moultrie County, Illinois",14853,14916,14973,14903,14837
"Ogle County, Illinois",53448,53160,52839,52377,52085
"Peoria County, Illinois",186270,186675,187193,188529,187319
"Perry County, Illinois",22331,22236,22070,21861,21672
"Piatt County, Illinois",16712,16672,16507,16440,16431
"Pike County, Illinois",16400,16377,16279,16142,16022
"Pope County, Illinois",4460,4452,4289,4332,4276
"Pulaski County, Illinois",6140,6007,5971,5904,5815
"Putnam County, Illinois",5994,5968,5875,5825,5814
"Randolph County, Illinois",33456,33269,32947,32915,32869
"Richland County, Illinois",16207,16219,16165,16068,16061
"Rock Island County, Illinois",147632,147256,147065,146804,146063
"St. Clair County, Illinois",270406,270088,268785,267065,265729
"Saline County, Illinois",24937,24959,24981,24892,24612
"Sangamon County, Illinois",197833,198925,199247,199037,198997
"Schuyler County, Illinois",7545,7485,7486,7425,7330
"Scott County, Illinois",5335,5232,5295,5234,5204
"Shelby County, Illinois",22344,22290,22233,22164,22048
"Stark County, Illinois",5967,5839,5937,5883,5813
"Stephenson County, Illinois",47680,47396,46973,46782,46435
"Tazewell County, Illinois",135447,135742,136094,136372,135707
"Union County, Illinois",17760,17702,17632,17559,17447
"Vermilion County, Illinois",81595,81358,80764,80418,79728
"Wabash County, Illinois",11933,11829,11716,11624,11549
"Warren County, Illinois",17716,17843,17785,17704,17874
"Washington County, Illinois",14699,14586,14611,14404,14337
"Wayne County, Illinois",16736,16620,16621,16616,16543
"White County, Illinois",14642,14622,14582,14526,14374
"Whiteside County, Illinois",58472,58151,57627,57274,56876
"Will County, Illinois",678828,680400,682187,683708,685419
"Williamson County, Illinois",66433,66741,66770,67088,67008
"Winnebago County, Illinois",295151,293667,291923,290845,288542
"Woodford County, Illinois",38640,38913,38925,39155,39187
"Adams County, Indiana",34435,34351,34401,34685,34791
"Allen County, Indiana",355857,358745,360832,363596,365918
"Bartholomew County, Indiana",76848,77621,78903,79549,80217
"Benton County, Indiana",8883,8883,8834,8748,8700
"Blackford County, Indiana",12763,12680,12548,12490,12401
"Boone County, Indiana",56836,57886,59076,60519,61915
"Brown County, Indiana",15209,15075,15068,15054,14962
"Carroll County, Indiana",20161,20066,20096,20096,19923
"Cass County, Indiana",39002,38920,38746,38542,38438
"Clark County, Indiana",110547,111534,111919,112800,114262
"Clay County, Indiana",26870,26902,26855,26797,26562
"Clinton County, Indiana",33203,33043,32957,32958,32776
"Crawford County, Indiana",10714,10606,10645,10611,10655
"Daviess County, Indiana",31713,31918,32116,32303,32729
"Dearborn County, Indiana",50093,50020,49782,49799,49506
"Decatur County, Indiana",25795,25895,26083,26262,26524
"DeKalb County, Indiana",42254,42413,42255,42302,42383
"Delaware County, Indiana",117672,117797,117309,117355,117074
"Dubois County, Indiana",41898,42193,42094,42318,42345
"Elkhart County, Indiana",197441,198480,199236,200591,201971
"Fayette County, Indiana",24341,24163,23965,23839,23468
"Floyd County, Indiana",74660,74975,75284,76059,76179
"Fountain County, Indiana",17258,17130,17100,16863,16658
"Franklin County, Indiana",23056,22997,22986,22929,22934
"Fulton County, Indiana",20820,20751,20664,20455,20500
"Gibson County, Indiana",33527,33540,33551,33554,33759
"Grant County, Indiana",70002,69669,69283,69044,68569
"Greene County, Indiana",33197,33119,33029,32817,32726
"Hamilton County, Indiana",276377,283213,289570,296828,302623
"Hancock County, Indiana",70182,70360,70641,71096,71978
"Harrison County, Indiana",39365,39237,39099,39082,39299
"Hendricks County, Indiana",145849,148613,150722,153644,156056
"Henry County, Indiana",49474,49343,49259,49066,48995
"Howard County, Indiana",82766,82888,82973,82961,82982
"Huntington County, Indiana",37096,37171,36979,36841,36706
"Jackson County, Indiana",42584,42920,42990,43436,43705
"Jasper County, Indiana",33502,33402,33453,33381,33475
"Jay County, Indiana",21176,21376,21370,21296,21179
"Jefferson County, Indiana",32425,32298,32506,32511,32494
"Jennings County, Indiana",28465,28196,28182,28272,28000
"Johnson County, Indiana",140274,141767,143562,145806,147538
"Knox County, Indiana",38383,38468,38051,38064,37938
"Kosciusko County, Indiana",77346,77389,77654,77997,78564
"LaGrange County, Indiana",37168,37491,37635,38067,38436
"Lake County, Indiana",496055,494820,493194,491403,490228
"LaPorte County, Indiana",111421,111187,111158,111256,111444
"Lawrence County, Indiana",46138,46088,46045,45873,45704
"Madison County, Indiana",131665,131051,130284,130370,130069
"Marion County, Indiana",904710,910798,918581,928349,934243
"Marshall County, Indiana",47008,46981,47025,47037,47107
"Martin County, Indiana",10376,10338,10322,10230,10203
"Miami County, Indiana",36795,36585,36502,36133,35954
"Monroe County, Indiana",138520,140339,141289,142020,143339
"Montgomery County, Indiana",38096,38343,38202,38130,38146
"Morgan County, Indiana",69156,69206,69216,69446,69693
"Newton County, Indiana",14257,14129,14079,14079,14156
"Noble County, Indiana",47471,47460,47424,47511,47618
"Ohio County, Indiana",6108,6084,6103,6035,6035
"Orange County, Indiana",19815,19916,19696,19727,19626
"Owen County, Indiana",21587,21516,21363,21170,20969
"Parke County, Indiana",17299,17123,17112,17234,17233
"Perry County, Indiana",19419,19469,19429,19488,19454
"Pike County, Indiana",12847,12755,12774,12666,12624
"Porter County, Indiana",164491,165442,165659,166427,167076
"Posey County, Indiana",25855,25680,25616,25515,25540
"Pulaski County, Indiana",13345,13280,13053,13004,12967
"Putnam County, Indiana",37928,37882,37681,37532,37618
"Randolph County, Indiana",26165,26005,25835,25616,25384
"Ripley County, Indiana",28815,28719,28529,28443,28497
"Rush County, Indiana",17367,17317,17134,17025,16892
"St. Joseph County, Indiana",266784,266756,266571,266850,267618
"Scott County, Indiana",24193,23945,23784,23852,23712
"Shelby County, Indiana",44322,44355,44382,44502,44579
"Spencer County, Indiana",20890,21056,20875,20844,20801
"Starke County, Indiana",23370,23219,23197,23215,23074
"Steuben County, Indiana",34135,34058,34155,34294,34308
"Sullivan County, Indiana",21419,21246,21227,21193,21050
"Switzerland County, Indiana",10622,10567,10402,10528,10452
"Tippecanoe County, Indiana",173011,175485,178180,180925,183074
"Tipton County, Indiana",15874,15846,15721,15584,15415
"Union County, Indiana",7538,7477,7340,7309,7246
"Vanderburgh County, Indiana",179790,180285,180781,181524,182006
"Vermillion County, Indiana",16145,16112,15955,15855,15693
"Vigo County, Indiana",107880,108321,108589,108356,108175
"Wabash County, Indiana",32852,32581,32428,32348,32252
"Warren County, Indiana",8502,8474,8386,8393,8352
"Warrick County, Indiana",59863,60240,60439,61001,61149
"Washington County, Indiana",28290,28180,27925,27810,27878
"Wayne County, Indiana",68959,68822,68371,67978,67671
"Wells County, Indiana",27658,27724,27678,27736,27862
"White County, Indiana",24680,24506,24408,24376,24453
"Whitley County, Indiana",33335,33288,33270,33238,33403
"Adair County, Iowa",7693,7588,7515,7463,7454
