County,2010,2011,2012,2013,2014
"Dade County, Georgia",16630,16591,16551,16502,16389
"Dawson County, Georgia",22300,22214,22376,22651,22957
"Decatur County, Georgia",27821,27663,27463,27372,27220
"DeKalb County, Georgia",692574,697953,708304,714935,722161
"Dodge County, Georgia",21789,21462,21353,21243,20976
"Dooly County, Georgia",14838,14548,14326,14313,14188
"Dougherty County, Georgia",94530,94839,94542,93130,92407
"Douglas County, Georgia",132644,133280,133926,136560,138776
"Early County, Georgia",10963,10742,10605,10511,10491
"Echols County, Georgia",4027,4096,3965,3997,4003
"Effingham County, Georgia",52446,52673,53337,54488,55423
"Elbert County, Georgia",20101,19823,19593,19514,19438
"Emanuel County, Georgia",22609,22581,22849,22861,22755
"Evans County, Georgia",11006,10965,10660,10813,10898
"Fannin County, Georgia",23688,23505,23467,23746,23753
"Fayette County, Georgia",106990,107211,107432,108355,109664
"Floyd County, Georgia",96393,96182,96066,96025,96063
"Forsyth County, Georgia",176737,182392,187826,195312,204302
"Franklin County, Georgia",22066,21957,21923,22044,22264
"Fulton County, Georgia",926149,950359,977950,984721,996319
"Gilmer County, Georgia",28306,28280,28205,28587,28829
"Glascock County, Georgia",3064,3108,3120,3083,3053
"Glynn County, Georgia",79802,80216,80960,81533,82175
"Gordon County, Georgia",55204,55508,55740,55830,56047
"Grady County, Georgia",25047,25165,25366,25258,25359
"Greene County, Georgia",15992,16051,16132,16283,16490
"Gwinnett County, Georgia",808374,824981,840221,858956,877922
"Habersham County, Georgia",43095,43106,43463,43294,43752
"Hall County, Georgia",180034,182954,185084,187759,190761
"Hancock County, Georgia",9410,9368,9030,8898,8509
"Haralson County, Georgia",28788,28515,28388,28482,28641
"Harris County, Georgia",32167,32366,32613,32673,32876
"Hart County, Georgia",25189,25435,25549,25480,25377
"Heard County, Georgia",11851,11711,11644,11561,11603
"Henry County, Georgia",205206,207071,208443,210755,213869
"Houston County, Georgia",140721,144161,146200,147919,149111
"Irwin County, Georgia",9601,9692,9600,9412,9104
"Jackson County, Georgia",60777,60551,60472,60971,61870
"Jasper County, Georgia",13885,13778,13596,13543,13432
"Jeff Davis County, Georgia",15091,15088,15114,14986,14859
"Jefferson County, Georgia",16919,16816,16422,16342,16272
"Jenkins County, Georgia",8321,8122,9133,9268,9125
"Johnson County, Georgia",9973,9918,9882,9776,9701
"Jones County, Georgia",28656,28910,28795,28769,28787
"Lamar County, Georgia",18268,18178,18039,17946,18207
"Lanier County, Georgia",10099,10468,10444,10398,10373
"Laurens County, Georgia",48389,48003,47970,47927,47851
"Lee County, Georgia",28431,28614,28727,29061,29191
"Liberty County, Georgia",62686,65115,65391,64057,65198
"Lincoln County, Georgia",7991,7898,7770,7719,7622
"Long County, Georgia",14679,15243,16161,16641,17113
"Lowndes County, Georgia",109700,111882,114668,112802,113523
"Lumpkin County, Georgia",30309,30482,30721,30908,31176
"McDuffie County, Georgia",21822,21621,21581,21421,21370
"McIntosh County, Georgia",14307,14237,13922,14180,14214
"Macon County, Georgia",14655,14479,14274,13961,13792
"Madison County, Georgia",28155,28110,28018,28116,28312
"Marion County, Georgia",8747,8737,8751,8721,8797
"Meriwether County, Georgia",21843,21606,21316,21207,21198
"Miller County, Georgia",6155,6074,5982,5917,5958
"Mitchell County, Georgia",23509,23445,23121,23027,22771
"Monroe County, Georgia",26469,26673,26741,27005,27051
"Montgomery County, Georgia",9088,9039,8909,8973,8991
"Morgan County, Georgia",17895,17906,17823,17752,17956
"Murray County, Georgia",39548,39428,39394,39298,39410
"Muscogee County, Georgia",191082,195272,200041,203952,200887
"Newton County, Georgia",100160,100464,101016,102201,103675
"Oconee County, Georgia",32927,33255,33520,34050,35093
"Oglethorpe County, Georgia",14910,14784,14597,14512,14673
"Paulding County, Georgia",142763,143829,145066,147181,148987
"Peach County, Georgia",27772,27577,27510,26905,26922
